temperature_C,pressure_bar,vibration_mm_s,flow_rate_m3_h,runtime_hrs,sensor_drift_index,failure_next_24h
1029.51,7.16,4.41,1127.48,1827,0.754,1
953.92,6.82,2.85,1056.6,1720,0.254,0
966.73,6.69,1.14,1181.09,1199,0.199,0
935.75,6.72,2.88,1138.35,1277,0.411,0
904.3,6.33,1.57,1047.91,1394,0.142,0
1000.33,7.22,2.32,1216.15,1641,0.296,0
993.57,6.14,2.14,1260.47,1404,0.245,0
911.59,6.69,2.2,1043.26,627,0.041,0
935.97,5.91,3.62,1121.57,463,0.348,0
1017.79,7.64,4.82,1135.81,1609,0.733,1
961.8,6.8,3.04,1022.9,185,0.207,0
1034.15,7.68,3.87,1201.08,1692,0.802,1
939.54,6.82,2.74,1284.87,335,0.281,0
960.23,6.89,1.58,984.88,240,0.099,0
1024.27,7.02,4.78,1201.69,1865,0.501,1
1028.17,7.3,3.79,1310.64,1743,0.85,1
932.88,6.42,3.69,1159.17,1469,0.144,0
962.76,7.32,3.42,1049.63,1365,0.161,0
995.79,8.23,3.48,1091.72,1819,0.69,1
1026.97,7.41,3.67,1119.05,1928,0.766,1
926.0,7.09,2.01,1069.24,972,0.293,0
1029.63,7.44,3.49,1302.11,1945,0.782,1
1023.24,7.24,4.31,972.38,1903,0.628,1
934.13,6.51,2.09,1262.93,581,0.204,0
931.96,7.14,2.44,1207.73,1922,0.156,0
987.08,6.39,2.97,938.12,1667,0.102,0
972.44,6.65,3.32,963.83,488,0.202,0
948.63,6.36,2.24,1080.19,1322,0.181,0
1036.76,7.89,4.2,1186.58,1773,0.694,1
942.53,6.71,3.41,1129.22,144,0.405,0
969.04,6.83,2.04,1057.85,871,0.221,0
913.99,6.41,2.08,1070.03,1848,0.235,0
918.74,7.55,1.68,1055.88,761,0.118,0
984.2,6.1,1.91,982.14,68,0.038,0
958.4,6.26,2.83,1208.13,1660,0.41,0
987.12,6.22,3.52,1156.45,955,0.375,0
959.69,6.84,2.24,1213.46,393,0.338,0
1003.13,7.3,3.43,1127.01,1872,0.761,1
886.34,6.22,2.03,1194.96,100,0.272,0
1007.71,8.07,4.01,1249.56,1840,0.861,1
917.43,6.89,2.76,1177.57,1621,0.282,0
1023.91,7.46,4.51,1180.14,1877,0.647,1
1022.47,7.87,3.66,883.21,1664,0.761,1
926.5,6.98,3.26,1080.69,1988,0.178,0
958.87,6.68,2.01,1159.82,1360,0.214,0
989.85,6.17,3.24,1100.29,309,0.21,0
1021.87,7.04,3.65,1229.68,1911,0.736,1
1029.56,7.67,4.33,1194.83,1714,0.718,1
953.18,6.45,2.65,1078.42,836,0.112,0
882.59,5.63,2.36,1186.74,512,0.169,0
964.14,6.8,2.3,1061.52,392,0.173,0
1028.6,7.04,4.56,1134.52,1681,0.591,1
1014.72,7.56,3.22,1169.01,1893,0.558,1
1026.56,7.13,3.64,1110.25,1812,0.763,1
939.46,6.11,3.49,1212.64,370,0.163,0
925.13,6.67,2.34,1142.12,695,0.244,0
1034.99,7.55,3.67,1014.13,1993,0.568,1
943.55,7.18,3.83,1128.19,858,0.386,0
963.86,6.71,3.16,1027.06,1010,0.219,0
1025.59,8.04,3.75,1190.79,1976,0.704,1
1019.2,7.61,2.89,1096.99,1858,0.549,1
927.12,6.87,2.8,1087.07,825,0.09,0
1042.11,7.84,4.04,1088.73,1828,0.602,1
939.05,7.13,1.71,1101.34,1321,0.221,0
1015.33,6.85,3.5,1152.66,1784,0.623,1
948.72,6.12,3.86,1333.3,105,0.086,0
967.26,6.25,2.77,1002.55,846,0.077,0
1017.49,7.27,4.3,993.94,1614,0.718,1
917.67,7.12,2.78,1037.3,1451,0.22,0
997.96,5.94,2.42,1031.22,1020,0.085,0
1017.71,8.05,3.65,1051.42,1746,0.567,1
944.81,5.63,2.65,1022.57,1640,0.0,0
959.78,6.21,3.2,1112.39,760,0.218,0
974.41,5.99,2.93,1091.38,1896,0.304,0
940.38,6.36,1.87,1087.42,159,0.122,0
1020.95,7.23,4.52,1289.43,1903,0.609,1
940.17,6.71,1.89,1228.12,800,0.328,0
1036.1,7.79,3.84,979.71,1845,0.819,1
1030.06,7.53,3.67,1014.91,1698,0.774,1
943.67,6.81,2.19,1099.58,1608,0.104,0
1006.15,7.66,4.06,1094.54,1626,0.73,1
911.01,5.73,3.94,1022.94,1867,0.22,0
1031.3,6.93,3.74,1116.91,1881,0.953,1
929.24,6.71,3.13,1038.6,1697,0.359,0
1024.63,7.82,3.91,1149.36,1999,0.632,1
1041.41,7.6,3.76,1107.26,1764,0.637,1
1024.0,7.52,3.87,1253.17,1905,0.441,1
919.12,6.48,2.96,1232.95,119,0.218,0
1002.57,6.42,1.87,1258.94,740,0.342,0
920.76,6.48,1.89,1044.54,434,0.072,0
1011.7,7.46,4.11,1289.35,1686,0.816,1
949.23,7.23,2.31,1077.74,1494,0.062,0
1010.99,7.96,3.43,1001.81,1902,0.683,1
1010.59,7.78,3.68,1216.51,1753,0.73,1
944.73,6.9,3.73,1177.39,97,0.195,0
945.73,6.56,2.71,1057.34,1662,0.16,0
937.12,6.04,2.98,1182.54,669,0.339,0
939.21,6.76,3.38,1272.93,654,0.133,0
953.79,6.4,2.93,1168.47,1309,0.034,0
967.92,6.95,2.13,1201.8,1903,0.362,0
952.36,6.8,4.4,1167.31,903,0.233,0
927.1,6.65,2.92,1067.43,1293,0.232,0
955.5,6.84,3.86,1112.25,1658,0.206,0
947.82,6.95,3.32,1139.17,1366,0.226,0
973.24,7.22,2.27,1074.84,1564,0.192,0
1042.31,7.76,3.25,1178.78,1857,0.675,1
975.87,6.43,3.82,1153.72,1210,0.151,0
979.53,6.02,2.1,1000.12,1711,0.105,0
919.82,7.05,2.16,955.45,329,0.264,0
1021.28,7.78,5.42,1173.18,1884,0.696,1
951.39,6.34,2.7,974.17,1078,0.235,0
935.48,6.85,1.9,1145.83,1640,0.214,0
951.93,6.08,1.5,1050.85,1641,0.161,0
907.26,7.08,2.31,1188.11,1263,0.238,0
1017.84,7.47,3.13,1045.62,1910,0.699,1
1000.85,6.01,2.36,1257.83,1428,0.115,0
943.26,6.14,3.99,991.68,407,0.11,0
951.02,6.85,2.23,1178.35,1721,0.174,0
1014.74,7.45,3.56,1231.01,1875,0.736,1
985.08,5.55,2.81,1078.36,1099,0.064,0
923.4,6.15,1.91,877.56,1344,0.271,0
967.13,7.09,3.19,954.88,1012,0.519,0
975.81,6.61,2.82,1131.55,1793,0.21,0
1025.37,7.49,4.44,1161.84,1604,0.602,1
970.89,6.28,2.64,1121.5,1370,0.397,0
1034.17,7.28,3.94,1106.42,1966,0.679,1
966.73,5.93,1.97,1280.57,320,0.165,0
1001.26,7.1,3.16,1011.15,1752,0.671,1
1025.66,7.45,4.15,1182.12,1663,0.57,1
976.17,6.36,2.75,893.51,815,0.207,0
932.89,7.11,2.71,1254.41,1767,0.246,0
1013.62,7.58,4.08,1166.71,1942,0.658,1
965.45,6.95,2.46,1124.73,1513,0.206,0
1013.82,7.42,3.56,1267.0,1834,0.859,1
1001.98,6.24,2.73,1092.54,607,0.147,0
950.43,5.8,3.14,968.65,1497,0.255,0
939.44,6.8,2.66,1123.16,1785,0.299,0
904.42,6.68,2.23,1121.91,325,0.227,0
913.23,6.76,1.4,1069.57,1733,0.182,0
976.56,6.37,2.6,1026.5,375,0.202,0
952.56,6.2,2.36,1157.73,502,0.2,0
932.23,6.66,3.39,1087.9,1287,0.193,0
962.66,6.5,2.37,996.37,651,0.32,0
937.21,6.49,1.58,1228.14,1577,0.274,0
895.91,6.37,2.39,1193.05,1622,0.087,0
1034.77,7.93,3.66,1152.42,1688,0.791,1
994.4,6.39,1.87,1095.5,1143,0.274,0
934.23,7.01,2.41,999.47,332,0.078,0
926.05,6.58,2.97,977.22,1618,0.428,0
965.32,6.43,2.89,1126.7,271,0.398,0
945.2,6.54,3.01,1116.82,1029,0.243,0
933.34,6.84,1.95,1029.45,947,0.096,0
960.03,7.33,1.94,1111.65,265,0.158,0
991.44,6.18,3.48,1028.64,1071,0.146,0
1049.8,7.17,3.37,1017.21,1999,0.872,1
972.39,5.8,2.25,1332.26,744,0.143,0
1006.4,7.73,4.4,1302.95,1861,0.775,1
961.13,5.94,2.77,1037.25,1031,0.168,0
947.78,6.4,2.04,1040.06,555,0.227,0
928.07,5.76,2.18,1239.08,1438,0.247,0
996.14,7.35,1.44,1047.94,138,0.147,0
1031.42,7.17,3.71,1069.54,1890,0.656,1
1010.89,7.67,4.21,1262.34,1628,0.788,1
995.98,5.66,3.29,1241.38,496,0.151,0
998.86,6.79,1.56,1111.45,1539,0.378,0
996.01,5.75,2.75,1164.91,187,0.049,0
1017.83,7.52,3.77,1123.1,1752,0.664,1
963.1,7.13,2.14,1044.68,773,0.093,0
1015.57,6.84,3.28,1073.65,1891,0.633,1
976.91,6.1,2.22,1121.49,1579,0.22,0
1020.09,7.33,3.3,1249.29,1796,0.582,1
1013.92,7.44,4.01,1211.29,1744,0.593,1
943.89,6.95,2.19,1035.38,709,0.249,0
1009.0,7.06,3.5,1092.81,1949,0.715,1
1033.68,7.36,4.31,1124.99,1860,0.673,1
922.76,6.27,2.4,1080.55,62,0.109,0
1033.83,7.75,4.08,1203.82,1770,0.791,1
955.16,7.19,2.55,1152.24,1938,0.264,0
964.06,6.79,2.83,1144.84,1397,0.151,0
916.93,6.33,2.2,1162.32,1560,0.203,0
944.72,6.37,1.29,1257.89,1378,0.197,0
941.7,6.26,1.41,974.98,1451,0.112,0
935.44,6.13,2.31,1009.98,1170,0.088,0
932.46,6.04,2.29,1013.87,989,0.278,0
931.99,6.57,2.37,1139.76,1610,0.153,0
981.2,7.52,2.93,1179.15,27,0.213,0
960.43,7.03,2.34,962.49,472,0.236,0
995.92,6.84,4.56,1022.52,1285,0.085,0
994.78,6.23,1.89,1089.74,111,0.202,0
946.02,6.98,1.99,1081.74,1415,0.125,0
917.38,6.3,1.71,1170.83,1855,0.239,0
897.11,7.1,1.9,1189.68,1597,0.104,0
880.94,6.46,2.28,1257.62,965,0.315,0
1023.45,7.35,3.95,965.83,1671,0.723,1
982.66,7.07,1.95,1091.38,1944,0.222,0
1017.86,6.92,3.23,1212.79,1802,0.801,1
1010.95,7.45,3.86,997.23,1622,0.729,1
940.94,6.33,2.57,1071.33,1225,0.251,0
1017.05,7.12,3.87,1174.93,1971,0.588,1
1016.78,7.75,3.0,1197.31,1866,0.465,1
1008.22,7.26,4.77,1200.7,1842,0.645,1
1020.8,7.52,3.73,1065.59,1992,0.703,1
941.78,6.91,3.16,939.63,1866,0.145,0
903.39,6.12,2.8,1156.16,1124,0.352,0
1019.65,7.47,4.44,1093.57,1841,0.778,1
993.24,6.39,2.25,1249.56,1504,0.272,0
899.5,6.16,2.09,966.13,980,0.168,0
1022.95,7.37,3.77,1084.42,1672,0.524,1
1008.02,7.59,3.91,1216.79,1942,0.736,1
1017.36,7.43,2.95,1152.37,1786,0.525,1
1013.79,8.06,3.64,1057.63,1790,0.747,1
1022.34,7.48,3.39,1171.04,1789,0.874,1
948.03,6.59,1.75,1154.77,1220,0.364,0
1027.81,7.7,3.98,1223.47,1689,0.785,1
906.07,6.39,1.85,1068.71,1542,0.295,0
1007.92,7.21,3.4,1140.22,1605,0.702,1
1023.77,7.61,4.19,1209.09,1722,0.796,1
1019.39,6.68,4.41,1173.74,1864,0.691,1
1003.71,7.4,3.45,1108.01,1675,0.639,1
941.9,6.01,2.15,1002.72,1468,0.25,0
969.14,6.91,2.35,956.36,1515,0.073,0
1004.82,7.26,4.26,1193.23,1796,0.608,1
971.65,7.32,2.1,1242.39,1652,0.064,0
995.58,7.35,4.35,925.3,1896,0.736,1
1009.87,6.37,3.08,1000.71,1380,0.194,0
949.06,6.36,1.69,1232.29,1665,0.367,0
954.46,6.74,2.67,1120.0,1399,0.135,0
1015.92,7.86,4.17,1213.62,1628,0.63,1
965.48,5.89,1.64,1165.64,1926,0.274,0
1026.42,7.19,4.56,1168.24,1923,0.726,1
1023.27,6.94,3.87,1162.15,1942,0.561,1
962.4,6.89,2.46,1185.72,1692,0.185,0
1026.15,7.61,4.01,1205.55,1642,0.729,1
971.25,6.78,3.14,1057.74,1926,0.197,0
1006.99,7.7,4.44,1189.98,1759,0.589,1
953.66,6.49,2.36,1014.26,1804,0.262,0
890.62,7.33,3.42,1262.53,1501,0.091,0
1024.25,6.82,4.48,1226.21,1794,0.683,1
974.54,6.53,2.62,1080.13,568,0.057,0
1014.28,7.76,3.93,1005.63,1669,0.744,1
904.91,6.48,2.03,1106.37,1581,0.202,0
962.65,6.37,3.04,1013.36,1797,0.178,0
933.49,5.99,2.6,989.55,1565,0.181,0
932.02,6.78,1.93,1060.66,749,0.238,0
934.87,5.83,1.97,1209.46,1885,0.366,0
999.17,5.91,3.4,1114.64,260,0.182,0
918.66,6.05,1.24,1004.56,1629,0.245,0
949.41,7.05,2.82,1127.25,960,0.035,0
959.33,6.24,4.45,1132.48,54,0.272,0
997.39,5.91,1.45,931.2,860,0.308,0
1018.71,7.44,3.88,1048.86,1928,0.921,1
1020.42,7.59,4.08,1235.23,1956,0.557,1
1020.02,7.51,4.15,1128.97,1697,0.561,1
1018.67,7.77,4.05,1083.67,1925,0.795,1
1011.95,7.98,4.14,1009.91,1718,0.663,1
984.28,7.02,2.89,1091.68,796,0.291,0
943.72,6.82,3.88,1157.54,225,0.351,0
1018.87,7.38,4.11,1188.22,1872,0.81,1
